country,GDP,GDP YoY,GDP QoQ,Interest rate,Inflation rate,JoblessRate,GovBudget,Debt_GDP,CurrentAccount,Currency,Population
United States,18037,0.017,0.035,0.0075,0.017,0.047,-0.032,1.0417,-2.7,119.89,321.57
Euro Area,11602,0.017,0.003,0,0.011,0.098,-0.021,0.907,3.7,1.07,338.47
China,11008,0.067,0.018,0.0435,0.021,0.0404,-0.023,0.439,2.7,6.81,1374.62
Japan,4123,0.011,0.003,-0.001,0.005,0.031,-0.06,2.292,2.9,113.15,126.82
Germany,3363,0.015,0.002,0,0.017,0.041,0.006,0.712,8.8,1.07,82.18
United Kingdom,2858,0.022,0.006,0.0025,0.016,0.048,-0.044,0.892,-5.2,1.23,64.88
France,2419,0.01,0.002,0,0.006,0.1,-0.036,0.961,-1.4,1.07,66.63
India,2095,0.073,0.018,0.0625,0.0341,0.049,-0.035,0.69,-1.25,67.95,1254.02
Italy,1822,0.01,0.003,0,0.005,0.119,-0.026,1.327,2.2,1.07,60.8
Brazil,1775,-0.029,-0.008,0.13,0.0629,0.119,-0.103,0.6623,-3.32,3.21,204.45
Canada,1551,0.013,0.009,0.005,0.012,0.069,0.001,0.915,-3.3,1.31,35.99
South Korea,1378,0.026,0.006,0.0125,0.013,0.034,-0.03,0.379,7.7,1165.77,50.6
Australia,1340,0.018,-0.005,0.015,0.013,0.057,-0.024,0.368,-4.6,0.76,23.94
Russia,1331,-0.004,-0.0057,0.1,0.054,0.054,-0.026,0.177,5.1,59.07,146.3
Spain,1199,0.032,0.007,0,0.016,0.1891,-0.051,0.992,1.5,1.07,46.45
Mexico,1144,0.02,0.01,0.0575,0.0336,0.035,-0.035,0.432,-2.8,21.53,121.01
Indonesia,862,0.0502,0.032,0.0475,0.0302,0.0561,-0.0253,0.27,-2.06,13304,258.7